Mail_Return_Rate_CEN_2010,Tot_Population_CEN_2010
74.5,686
85.799999999999997,1112
77.099999999999994,1409
90.0,1892
77.900000000000006,1134
85.400000000000006,915
84.900000000000006,1181
78.0,1668
80.0,5791
79.799999999999997,752
78.299999999999997,1375
82.400000000000006,1123
72.5,1180
84.0,2403
61.0,2031
81.400000000000006,2451
73.5,1153
82.299999999999997,893
83.900000000000006,2222
80.099999999999994,2175
52.299999999999997,1170
72.5,1735
86.700000000000003,1505
88.599999999999994,913
69.799999999999997,1382
75.700000000000003,708
88.299999999999997,1221
81.599999999999994,1378
75.0,877
72.200000000000003,838
78.200000000000003,1445
85.799999999999997,1861
84.799999999999997,1047
89.900000000000006,915
89.099999999999994,690
93.5,1117
83.099999999999994,1255
75.099999999999994,612
85.799999999999997,1032
87.900000000000006,2001
66.299999999999997,1527
70.700000000000003,1500
78.5,3193
77.200000000000003,1537
77.799999999999997,747
85.299999999999997,667
74.200000000000003,1051
87.700000000000003,1842
81.5,1865
58.799999999999997,1753
80.299999999999997,1007
83.5,2113
82.200000000000003,2251
73.400000000000006,913
83.200000000000003,1965
57.100000000000001,2135
90.0,1167
58.799999999999997,3046
82.799999999999997,2106
86.200000000000003,1861
89.0,876
57.899999999999999,929
82.700000000000003,637
86.400000000000006,1290
76.299999999999997,1127
78.5,3863
83.900000000000006,1217
86.299999999999997,1430
70.099999999999994,549
82.799999999999997,1469
73.299999999999997,1549
56.700000000000003,1016
91.200000000000003,1474
83.5,943
83.200000000000003,1419
86.700000000000003,1075
90.5,1013
72.900000000000006,2061
77.099999999999994,756
82.900000000000006,3424
70.299999999999997,1387
76.299999999999997,1170
71.200000000000003,2158
74.0,927
71.700000000000003,1478
78.700000000000003,2090
81.900000000000006,1555
79.900000000000006,1805
87.200000000000003,1440
92.700000000000003,1228
79.5,1544
76.0,1309
81.099999999999994,851
74.700000000000003,880
86.599999999999994,1958
86.599999999999994,1563
84.099999999999994,704
74.700000000000003,3989
85.900000000000006,1905
73.200000000000003,1479
59.0,1772
81.299999999999997,1610
72.799999999999997,639
72.0,1205
81.099999999999994,1873
89.200000000000003,972
80.200000000000003,1513
78.5,834
73.5,569
73.599999999999994,624
79.900000000000006,998
65.599999999999994,2805
85.599999999999994,816
82.299999999999997,673
75.900000000000006,1165
77.5,1741
84.599999999999994,2614
77.700000000000003,784
78.0,1982
62.899999999999999,1626
75.599999999999994,1712
89.299999999999997,1410
74.700000000000003,1099
82.299999999999997,1361
80.299999999999997,1507
89.5,853
84.5,1890
87.700000000000003,1599
71.5,1883
73.900000000000006,2863
91.599999999999994,841
61.200000000000003,1378
61.299999999999997,1381
92.299999999999997,5364
78.599999999999994,1523
76.700000000000003,922
79.900000000000006,620
73.099999999999994,1528
71.299999999999997,782
75.799999999999997,1102
75.5,827
87.099999999999994,2094
70.200000000000003,2156
68.0,2347
75.900000000000006,1063
84.400000000000006,3491
80.099999999999994,744
90.599999999999994,683
82.900000000000006,2360
85.299999999999997,2226
87.5,1792
74.0,2116
79.599999999999994,3612
88.200000000000003,1226
85.099999999999994,1011
80.0,831
78.700000000000003,1083
72.900000000000006,840
89.900000000000006,1619
73.599999999999994,1513
78.099999999999994,2665
75.799999999999997,1030
89.799999999999997,975
81.799999999999997,683
77.5,792
84.700000000000003,2725
78.299999999999997,1137
75.700000000000003,1129
72.700000000000003,1105
61.700000000000003,1365
87.200000000000003,2769
77.700000000000003,1455
92.700000000000003,602
79.200000000000003,641
81.0,1366
85.200000000000003,779
64.900000000000006,867
80.099999999999994,733
85.700000000000003,4483
86.0,781
69.599999999999994,1747
83.0,1540
70.299999999999997,2070
83.900000000000006,590
87.299999999999997,1176
92.099999999999994,1429
79.0,2533
79.599999999999994,681
75.200000000000003,1130
88.200000000000003,1093
76.099999999999994,698
63.799999999999997,974
66.900000000000006,1276
78.5,1845
78.700000000000003,1881
81.799999999999997,2526
89.900000000000006,928
83.700000000000003,1811
75.900000000000006,1113
60.200000000000003,816
69.599999999999994,1567
89.0,847
82.700000000000003,1784
71.299999999999997,782
