GalaxyID,x,y,e1,e2
Galaxy1,3456.05,2227.50,-0.473572,0.161479
Galaxy2,44.22,3689.29,-0.061375,0.453436
Galaxy3,3813.29,905.62,0.384639,0.068899
Galaxy4,3321.57,1380.74,0.463075,0.459731
Galaxy5,3152.71,1754.45,-0.107553,-0.096358
Galaxy6,3586.91,2554.84,0.417595,0.121377
Galaxy7,810.37,3415.82,0.029586,0.086532
Galaxy8,2869.76,1488.60,-0.238297,0.120188
Galaxy9,2913.76,3891.12,-0.196780,-0.053309
Galaxy10,1415.41,2788.77,0.175338,0.212662
Galaxy11,126.90,1941.25,0.505368,0.139750
Galaxy12,348.97,1446.69,-0.284512,0.437533
Galaxy13,1181.98,1877.47,0.011382,-0.162467
Galaxy14,1773.43,3179.07,-0.191180,0.200350
Galaxy15,3368.61,2702.70,0.195643,-0.343198
Galaxy16,472.76,3991.10,0.209472,-0.203397
Galaxy17,2736.46,2495.83,-0.028692,-0.412232
Galaxy18,668.39,1252.94,0.085751,0.188474
Galaxy19,1300.03,2029.79,-0.131199,-0.101907
Galaxy20,2760.52,1160.55,-0.302097,0.082715
Galaxy21,3400.49,3679.87,-0.088673,-0.241516
Galaxy22,617.11,1.52,0.230405,0.188279
Galaxy23,498.87,3257.72,0.061106,0.271303
Galaxy24,1796.12,1186.71,0.542679,-0.107571
Galaxy25,1303.30,2903.07,-0.113607,0.097923
Galaxy26,1806.48,3942.98,0.071350,-0.050884
Galaxy27,2653.31,2831.32,-0.231832,-0.349584
Galaxy28,1731.11,1316.25,0.178569,0.381458
Galaxy29,3425.39,1586.15,-0.234377,-0.172681
Galaxy30,685.26,2444.63,0.065773,0.280146
Galaxy31,1912.60,546.98,0.123521,-0.163048
Galaxy32,2901.05,3284.05,0.237190,-0.036222
Galaxy33,2559.48,2374.47,-0.087157,0.434389
Galaxy34,2885.59,3462.18,0.109737,-0.067192
Galaxy35,96.98,2244.39,-0.163918,0.195636
Galaxy36,4116.07,3275.78,0.126461,0.311989
Galaxy37,913.50,520.47,0.085887,0.383984
Galaxy38,402.79,3085.34,0.117679,0.229958
Galaxy39,601.05,460.90,-0.001078,0.094344
Galaxy40,1602.15,1145.93,0.107727,0.064180
Galaxy41,860.72,3847.34,0.396926,0.428799
Galaxy42,3003.46,888.52,0.178601,0.414480
Galaxy43,2414.51,1754.46,0.080074,-0.089256
Galaxy44,3379.47,1229.95,0.014576,0.048388
Galaxy45,922.48,2461.49,0.049982,0.124505
Galaxy46,3301.15,1851.96,0.156003,-0.040891
Galaxy47,2538.13,4193.07,-0.379064,0.029994
Galaxy48,112.66,2967.14,0.395778,-0.167068
Galaxy49,2376.07,4163.06,-0.299498,-0.214733
Galaxy50,1145.51,1827.73,0.154041,0.207759
Galaxy51,4108.45,3393.12,0.101660,0.021905
Galaxy52,570.13,2304.12,0.121612,-0.072581
Galaxy53,1086.28,2199.16,0.097175,0.046503
Galaxy54,975.27,330.43,0.136253,0.028716
Galaxy55,3868.63,2601.71,-0.220705,0.348398
Galaxy56,3941.40,3497.25,-0.107512,-0.066667
Galaxy57,1459.02,4160.17,0.386521,-0.197855
Galaxy58,2563.22,3236.02,0.053853,0.186861
Galaxy59,3369.00,3117.51,0.148317,0.036554
Galaxy60,2248.35,2142.83,0.055832,0.216005
Galaxy61,2240.25,261.40,-0.079784,0.065616
Galaxy62,838.56,4165.06,-0.357056,-0.225006
Galaxy63,4040.62,240.67,0.136724,0.303529
Galaxy64,977.05,604.03,0.075921,0.623580
Galaxy65,528.23,675.48,0.330614,-0.297724
Galaxy66,3727.74,3457.52,-0.270599,-0.415889
Galaxy67,649.83,1059.12,-0.171283,-0.003720
Galaxy68,2498.45,345.06,0.245034,0.097766
Galaxy69,2229.67,1441.36,0.126973,0.225123
Galaxy70,983.04,2517.82,0.117343,-0.057493
Galaxy71,140.35,1936.56,0.106634,-0.194897
Galaxy72,56.90,1581.23,0.271546,-0.062345
Galaxy73,3531.30,1582.64,-0.076987,0.253296
Galaxy74,1557.41,2531.97,-0.114399,-0.075996
Galaxy75,834.85,391.88,-0.029916,0.023751
Galaxy76,364.04,3786.93,0.285374,-0.054812
Galaxy77,3230.96,1214.24,-0.315800,0.193410
Galaxy78,1769.80,170.16,-0.444824,-0.324486
Galaxy79,1280.99,2829.17,0.140716,0.073692
Galaxy80,1519.32,1434.03,0.024314,-0.166962
Galaxy81,3976.08,3745.66,-0.397410,-0.044706
Galaxy82,1625.71,437.11,-0.068096,0.216033
Galaxy83,622.14,3903.10,0.438839,-0.001661
Galaxy84,2608.96,64.26,0.083915,0.000613
Galaxy85,1308.59,770.89,-0.334407,0.196064
Galaxy86,3823.51,4102.85,-0.122986,-0.109366
Galaxy87,1560.51,1762.37,0.111203,-0.077531
Galaxy88,103.81,2951.01,0.010921,-0.335466
Galaxy89,1979.45,1780.73,0.116250,-0.353634
Galaxy90,3514.20,921.79,-0.095676,-0.116418
Galaxy91,61.98,2912.16,0.595213,0.026995
Galaxy92,583.58,3914.25,0.022651,-0.210253
Galaxy93,788.70,1998.07,0.013258,-0.224675
Galaxy94,761.99,2637.81,0.251874,0.082988
Galaxy95,3290.05,3129.43,-0.342592,-0.569037
Galaxy96,1565.66,303.07,0.008170,0.109535
Galaxy97,440.83,1707.62,0.058880,0.170266
Galaxy98,258.48,1362.42,-0.186664,0.106878
Galaxy99,373.46,2872.92,0.061207,0.204063
Galaxy100,984.88,1523.49,0.087526,0.226509
Galaxy101,3469.84,3731.41,0.170300,-0.023469
Galaxy102,2384.49,543.57,0.013441,0.187315
Galaxy103,2832.18,4143.79,-0.074798,-0.051406
Galaxy104,1881.18,2152.23,0.129332,0.109950
Galaxy105,3682.71,4064.52,-0.143049,-0.356011
Galaxy106,2632.63,3676.09,0.026323,-0.115048
Galaxy107,1664.73,921.99,0.208743,0.313335
Galaxy108,3733.23,3684.09,0.062531,-0.057045
Galaxy109,3267.89,971.53,0.022280,0.336770
