GalaxyID,x,y,e1,e2
Galaxy1,1427.47,3262.70,0.116190,-0.029869
Galaxy2,1395.49,1745.71,-0.327576,-0.040523
Galaxy3,732.02,2546.03,0.205033,0.054796
Galaxy4,3237.50,1862.85,-0.381739,0.192475
Galaxy5,3332.16,3342.31,-0.102155,0.152499
Galaxy6,517.08,1333.81,0.082922,-0.185626
Galaxy7,4013.08,3394.54,-0.205855,0.283675
Galaxy8,1321.12,406.97,-0.488974,0.048485
Galaxy9,1102.19,1526.83,0.165676,0.212833
Galaxy10,2600.83,940.42,0.279803,0.092971
Galaxy11,2036.15,748.05,-0.379331,0.008988
Galaxy12,4065.73,1877.19,0.175901,0.097156
Galaxy13,1113.41,425.38,-0.193709,0.107440
Galaxy14,3774.38,3829.05,-0.060549,0.336356
Galaxy15,3008.64,1050.55,0.008936,0.263516
Galaxy16,3238.08,2817.86,-0.252514,-0.033655
Galaxy17,1400.35,94.87,-0.251758,0.223332
Galaxy18,2350.55,2336.09,-0.231115,-0.096277
Galaxy19,1030.88,3888.94,-0.146626,0.101501
Galaxy20,1942.92,15.56,-0.004632,0.085862
Galaxy21,3626.72,3603.81,0.218401,0.558322
Galaxy22,3683.80,2745.40,-0.461574,0.100240
Galaxy23,492.69,1035.56,0.375490,-0.218330
Galaxy24,2636.76,11.92,-0.000841,0.103707
Galaxy25,3103.21,3648.15,0.113800,0.035599
Galaxy26,3292.12,477.16,0.450683,0.120925
Galaxy27,2924.94,1841.58,0.332198,-0.058024
Galaxy28,471.24,1813.71,0.275070,0.126436
Galaxy29,4090.14,3474.02,0.151387,-0.230156
Galaxy30,1684.93,1161.68,0.196940,0.343379
Galaxy31,862.30,3886.41,0.331005,0.421029
Galaxy32,4113.73,61.63,-0.089501,-0.448490
Galaxy33,938.11,3162.52,0.120958,0.054049
Galaxy34,3665.63,3962.93,0.229211,-0.024246
Galaxy35,974.06,548.18,0.165772,0.046507
Galaxy36,882.34,3130.22,0.223370,0.332599
Galaxy37,3619.56,3864.72,-0.150497,-0.245805
Galaxy38,1231.28,2878.68,0.099913,0.434364
Galaxy39,1173.93,2376.57,0.120973,0.400856
Galaxy40,3055.23,1076.18,0.320852,0.072887
Galaxy41,2625.89,3195.99,-0.286706,-0.041290
Galaxy42,2361.43,3800.64,0.246617,-0.088366
Galaxy43,219.93,746.13,-0.176561,-0.007938
Galaxy44,2163.70,301.14,-0.205262,0.153518
Galaxy45,2000.13,57.24,-0.014593,-0.215649
Galaxy46,682.87,2695.03,0.170321,0.312325
Galaxy47,2210.88,669.06,-0.149346,0.187122
Galaxy48,3617.95,247.58,-0.212130,-0.571517
Galaxy49,3884.81,618.81,-0.136208,-0.265679
Galaxy50,3003.29,3375.19,0.268419,-0.032655
Galaxy51,2194.10,294.49,-0.304703,-0.233401
Galaxy52,499.60,1618.22,-0.144327,0.072322
Galaxy53,1252.14,3818.47,-0.001114,-0.238640
Galaxy54,4085.08,2231.90,0.086741,-0.193606
Galaxy55,1008.60,2904.58,0.543767,0.264153
Galaxy56,21.51,2555.12,-0.532048,-0.551713
Galaxy57,3218.41,2938.03,-0.188023,-0.077653
Galaxy58,3681.75,989.15,0.279576,0.266832
Galaxy59,1716.63,3665.70,0.003731,-0.178258
Galaxy60,2519.12,2387.99,0.192479,-0.037581
Galaxy61,1764.80,712.26,0.298665,-0.087309
Galaxy62,1367.53,3134.01,0.103896,-0.216289
Galaxy63,1326.34,2346.02,-0.193990,0.215648
Galaxy64,2147.90,2122.07,-0.186064,0.291443
Galaxy65,368.47,2452.39,-0.212933,0.209054
Galaxy66,2788.98,526.13,-0.247856,0.283467
Galaxy67,1885.33,3981.31,-0.154083,0.039377
Galaxy68,876.77,3378.21,0.073481,0.331362
Galaxy69,1807.25,125.68,0.212534,-0.097428
Galaxy70,2443.35,3008.46,0.211478,-0.051981
Galaxy71,2507.09,2251.24,0.186635,0.091683
Galaxy72,912.47,1556.60,-0.039452,-0.260465
Galaxy73,999.01,1871.06,0.051322,0.067158
Galaxy74,3625.42,2834.07,0.129249,-0.180180
Galaxy75,2078.90,2459.35,-0.017738,0.010479
Galaxy76,1460.55,3874.14,0.017596,-0.268628
Galaxy77,2846.80,1660.91,-0.094867,-0.193010
Galaxy78,1061.65,3034.33,-0.123610,0.268651
Galaxy79,672.33,841.24,0.250088,-0.260996
Galaxy80,3175.13,1047.33,0.111260,-0.070815
Galaxy81,966.27,2367.13,-0.043901,0.417309
Galaxy82,2157.15,665.52,-0.529341,0.376593
Galaxy83,652.10,374.95,-0.028555,-0.301630
Galaxy84,3607.45,1718.07,-0.250847,-0.677089
Galaxy85,456.90,1498.53,0.074745,0.153454
Galaxy86,2038.53,3248.20,-0.020249,-0.139639
Galaxy87,979.74,472.07,0.190678,0.224870
Galaxy88,548.50,3493.59,0.321982,-0.118399
Galaxy89,1742.90,945.42,-0.148784,0.283779
Galaxy90,3352.94,991.51,-0.096118,-0.113421
Galaxy91,95.79,3050.19,0.149759,0.073127
Galaxy92,984.23,1169.56,-0.593610,0.272801
Galaxy93,2397.57,932.53,0.273383,-0.279556
Galaxy94,1800.89,3775.91,-0.091818,-0.302356
Galaxy95,2743.47,2797.40,-0.338144,0.028612
Galaxy96,790.51,1907.08,-0.025746,0.321723
Galaxy97,681.55,2671.19,0.184915,-0.010513
Galaxy98,3687.91,2128.56,0.024129,0.005747
Galaxy99,2131.71,3913.64,0.426478,-0.193683
Galaxy100,724.97,324.61,-0.178309,-0.137625
Galaxy101,2062.41,21.39,0.321991,0.000881
Galaxy102,2282.24,1273.25,0.191098,0.371813
Galaxy103,2521.84,2674.86,-0.175936,0.109276
Galaxy104,370.68,2394.26,0.150273,-0.125174
Galaxy105,4003.34,3868.70,-0.452031,-0.018939
Galaxy106,42.14,1783.26,0.004395,0.052989
Galaxy107,251.08,1754.35,-0.154628,0.226866
Galaxy108,3583.95,2413.43,-0.090069,-0.050313
Galaxy109,2159.72,2401.74,0.053263,0.073282
Galaxy110,1335.14,3243.81,0.059690,0.066756
Galaxy111,1357.71,3060.65,0.346008,-0.057177
Galaxy112,2007.20,1022.08,0.256376,-0.179095
Galaxy113,3813.84,1688.90,-0.404930,-0.392189
Galaxy114,3743.42,3569.64,0.090083,0.249309
Galaxy115,62.16,839.29,-0.176064,0.080664
Galaxy116,3478.87,235.39,0.467774,-0.020440
Galaxy117,2964.66,2390.87,-0.150011,0.481798
Galaxy118,3578.52,3702.37,-0.022688,0.086843
Galaxy119,1800.24,1347.02,0.078687,-0.031752
Galaxy120,3042.23,1321.84,0.276110,0.092651
Galaxy121,1861.03,3313.72,-0.146387,-0.021654
Galaxy122,2958.18,2753.21,0.190623,-0.243988
