GalaxyID,x,y,e1,e2
Galaxy1,3812.58,2293.34,0.163804,-0.034333
Galaxy2,253.65,494.71,-0.143646,-0.168075
Galaxy3,1766.63,1987.64,-0.039980,-0.160336
Galaxy4,1183.89,1482.49,-0.049889,-0.073722
Galaxy5,871.42,548.93,-0.186269,0.324922
Galaxy6,1192.74,1646.40,-0.106357,-0.056952
Galaxy7,1021.30,161.24,0.130042,0.224959
Galaxy8,3770.49,757.01,0.522972,-0.383178
Galaxy9,3218.97,4042.51,0.201410,0.155736
Galaxy10,1572.53,3774.82,-0.138194,-0.312560
Galaxy11,3164.84,2817.96,-0.033601,0.010141
Galaxy12,1241.24,2022.35,0.124886,-0.150287
Galaxy13,1104.18,3118.53,0.121435,-0.103810
Galaxy14,2927.27,4188.01,0.427112,-0.100059
Galaxy15,2866.83,4155.06,0.027428,-0.045648
Galaxy16,714.15,1759.68,-0.093858,0.240333
Galaxy17,1676.13,1225.87,-0.026413,0.404546
Galaxy18,998.55,526.27,0.018203,0.146606
Galaxy19,2047.91,4038.91,0.043101,-0.124541
Galaxy20,262.07,1908.85,0.212080,0.038720
Galaxy21,2802.97,3879.72,0.108813,-0.132811
Galaxy22,3793.72,2255.93,-0.010486,-0.297944
Galaxy23,3221.75,1644.94,-0.057112,0.014605
Galaxy24,3364.10,1113.58,-0.028837,0.014222
Galaxy25,1477.54,2972.90,-0.281669,-0.120428
Galaxy26,1551.71,2290.64,-0.313084,0.055184
Galaxy27,362.04,1482.03,0.156684,-0.512436
Galaxy28,3085.01,2706.89,0.109265,-0.128711
Galaxy29,809.90,3804.85,-0.012273,0.021611
Galaxy30,180.43,75.85,0.123755,0.092632
Galaxy31,1474.74,2099.46,-0.269527,0.001776
Galaxy32,2992.16,2287.45,-0.085067,-0.261338
Galaxy33,3258.62,1277.15,0.060445,0.129403
Galaxy34,3943.30,4130.33,-0.107031,-0.152926
Galaxy35,3489.83,4075.65,0.076094,-0.062293
Galaxy36,140.16,3586.25,0.242809,-0.201260
Galaxy37,2765.21,2047.73,0.269175,0.258647
Galaxy38,385.33,1858.20,-0.030047,0.051778
Galaxy39,3471.22,2542.79,0.378789,0.029078
Galaxy40,1874.77,1472.99,-0.229134,0.565948
Galaxy41,3990.69,377.62,-0.484890,0.039159
Galaxy42,2046.03,221.68,-0.050616,0.041094
Galaxy43,4003.54,1635.42,0.096819,-0.216082
Galaxy44,3501.19,1592.55,0.024569,-0.164063
Galaxy45,3544.48,2425.59,-0.170413,0.109820
Galaxy46,1261.83,613.78,-0.371785,-0.141141
Galaxy47,3275.12,1998.60,-0.090876,-0.278248
Galaxy48,1506.71,2610.13,-0.075470,-0.201796
Galaxy49,2956.85,1585.70,-0.103506,0.361116
Galaxy50,37.71,3219.41,-0.125414,-0.030442
Galaxy51,3764.47,1922.22,-0.251904,-0.182460
Galaxy52,2609.13,1635.65,0.109855,0.001261
Galaxy53,2355.26,2769.87,-0.041513,0.149047
Galaxy54,665.54,3561.44,0.144002,-0.078240
Galaxy55,3749.34,4079.67,-0.257089,0.189169
Galaxy56,2617.22,1991.25,-0.405737,-0.128099
Galaxy57,2567.54,203.89,-0.227176,0.005841
Galaxy58,1063.12,2743.87,0.253031,0.085532
Galaxy59,1882.99,3560.09,-0.104072,-0.613903
Galaxy60,1862.62,2997.76,-0.197559,-0.038521
Galaxy61,3329.21,4014.23,-0.044942,-0.131367
Galaxy62,1724.56,3744.19,-0.004214,0.187746
Galaxy63,1913.06,3376.38,0.296230,-0.258325
Galaxy64,177.33,2016.47,0.009195,0.115417
Galaxy65,2649.15,2053.17,0.318019,0.047068
Galaxy66,2526.27,478.83,-0.244855,0.169750
Galaxy67,2434.65,2586.52,-0.038636,-0.078433
Galaxy68,1927.24,2337.97,0.490245,-0.316225
Galaxy69,2406.89,1546.84,0.262686,0.060504
Galaxy70,1016.87,2496.82,0.087611,0.050996
Galaxy71,2727.27,374.57,-0.934583,0.085073
Galaxy72,2318.05,614.85,-0.294460,0.104550
Galaxy73,1903.95,290.68,0.006100,0.084706
Galaxy74,3076.43,157.88,0.251247,-0.675695
Galaxy75,2733.48,2765.44,-0.050992,0.093920
Galaxy76,3777.98,1952.96,-0.113054,0.024098
Galaxy77,493.89,608.48,-0.322560,-0.164902
Galaxy78,2707.78,921.63,0.076280,0.177765
Galaxy79,65.61,3279.49,-0.075969,-0.047193
Galaxy80,2240.38,348.63,-0.198818,0.290547
Galaxy81,1697.47,2648.84,-0.065378,0.118811
Galaxy82,684.77,2242.58,-0.044647,-0.154374
Galaxy83,629.32,639.53,0.070968,-0.015410
Galaxy84,1871.06,3621.07,0.162556,-0.039527
Galaxy85,2991.16,427.79,-0.619654,0.535568
Galaxy86,2734.27,1870.48,-0.020658,0.095099
Galaxy87,613.79,1078.87,-0.062282,0.046427
Galaxy88,1118.89,3661.44,0.358205,0.174865
Galaxy89,2617.38,1034.35,-0.286965,0.400272
Galaxy90,2351.41,1531.19,-0.063373,0.005373
Galaxy91,2920.45,372.68,-0.378639,0.186653
Galaxy92,1239.11,2898.54,0.031632,0.189869
Galaxy93,2603.29,3715.28,0.006826,-0.350277
Galaxy94,1370.53,208.58,0.135673,-0.439159
Galaxy95,2248.89,918.19,-0.080659,-0.023657
Galaxy96,3006.50,3725.39,-0.054204,0.023506
Galaxy97,2312.63,2415.53,0.217504,0.148891
Galaxy98,1873.48,1076.94,-0.075393,0.341947
Galaxy99,419.48,1069.80,-0.015211,-0.098103
Galaxy100,535.22,3862.26,0.084637,-0.033498
Galaxy101,4054.53,743.65,-0.476850,0.037322
Galaxy102,2751.05,1232.75,-0.129698,0.119805
Galaxy103,3483.26,2447.76,0.413896,0.190541
Galaxy104,1929.06,558.90,-0.009395,0.379237
Galaxy105,1534.69,3110.46,0.072576,-0.019041
Galaxy106,1701.32,57.74,0.069912,0.043021
Galaxy107,3770.44,601.16,-0.085852,-0.313880
Galaxy108,1819.39,1638.00,0.230764,0.051035
Galaxy109,931.44,124.61,-0.038238,0.027066
Galaxy110,3910.76,3023.57,0.055935,0.587279
Galaxy111,535.23,1973.25,-0.146263,-0.029434
Galaxy112,3290.97,1381.81,-0.178511,0.012856
Galaxy113,2188.16,1601.74,0.178580,-0.115318
Galaxy114,2198.63,2791.55,0.246318,0.046448
Galaxy115,592.44,3951.21,-0.025307,0.195043
Galaxy116,799.00,2415.39,-0.169718,-0.166929
Galaxy117,3182.60,2639.61,0.065235,0.312291
Galaxy118,2361.98,2863.38,-0.108711,-0.178923
Galaxy119,2218.33,1224.10,0.039003,-0.027574
Galaxy120,1948.29,778.49,0.208404,-0.069725
Galaxy121,1484.37,2142.25,-0.290492,0.281123
Galaxy122,2873.29,3169.94,0.238916,-0.098847
